symboling,fueltype,aspiration,doornumber,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,price,avg_mpg,hp_per_weight,brand_tier
0,gas,std,2,sedan,rwd,101.2,176.8,64.8,54.3,2710,ohc,6,164,mpfi,3.31,3.19,9.0,121,4250,20970.0,24.5,0.044649446494464944,premium
0,gas,std,4,sedan,rwd,101.2,176.8,64.8,54.3,2765,ohc,6,164,mpfi,3.31,3.19,9.0,121,4250,21105.0,24.5,0.04376130198915009,premium
1,gas,std,4,sedan,rwd,103.5,189.0,66.9,55.7,3055,ohc,6,164,mpfi,3.31,3.19,9.0,121,4250,24565.0,22.5,0.03960720130932897,premium
0,gas,std,4,sedan,rwd,103.5,189.0,66.9,55.7,3230,ohc,6,209,mpfi,3.62,3.39,8.0,182,5400,30760.0,19.0,0.056346749226006194,premium
0,gas,std,2,sedan,rwd,103.5,193.8,67.9,53.7,3380,ohc,6,209,mpfi,3.62,3.39,8.0,182,5400,41315.0,19.0,0.05384615384615385,premium
0,gas,std,4,sedan,rwd,110.0,197.0,70.9,56.3,3505,ohc,6,209,mpfi,3.62,3.39,8.0,182,5400,36880.0,17.5,0.051925820256776035,premium
2,gas,std,2,hatchback,fwd,88.4,141.1,60.3,53.2,1488,l,3,61,2bbl,2.91,3.03,9.5,48,5100,5151.0,50.0,0.03225806451612903,budget
1,gas,std,2,hatchback,fwd,94.5,155.9,63.6,52.0,1874,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400,6295.0,40.5,0.03735325506937033,budget
0,gas,std,4,sedan,fwd,94.5,158.8,63.6,52.0,1909,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400,6575.0,40.5,0.03666841278156103,budget
1,gas,std,2,hatchback,fwd,93.7,157.3,63.8,50.8,1876,ohc,4,90,2bbl,2.97,3.23,9.41,68,5500,5572.0,39.0,0.03624733475479744,budget
1,gas,std,2,hatchback,fwd,93.7,157.3,63.8,50.8,1876,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,6377.0,34.5,0.03624733475479744,budget
1,gas,turbo,2,hatchback,fwd,93.7,157.3,63.8,50.8,2128,ohc,4,98,mpfi,3.03,3.39,7.6,102,5500,7957.0,27.0,0.047932330827067667,budget
1,gas,std,4,hatchback,fwd,93.7,157.3,63.8,50.6,1967,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,6229.0,34.5,0.03457041179461108,budget
1,gas,std,4,sedan,fwd,93.7,157.3,63.8,50.6,1989,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,6692.0,34.5,0.03418803418803419,budget
1,gas,std,4,sedan,fwd,93.7,157.3,63.8,50.6,1989,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,7609.0,34.5,0.03418803418803419,budget
1,gas,turbo,2,sedan,fwd,93.7,157.3,63.8,50.6,2191,ohc,4,98,mpfi,3.03,3.39,7.6,102,5500,8558.0,27.0,0.04655408489274304,budget
-1,gas,std,4,wagon,fwd,103.3,174.6,64.6,59.8,2535,ohc,4,122,2bbl,3.34,3.46,8.5,88,5000,8921.0,27.0,0.03471400394477318,budget
3,gas,turbo,2,hatchback,fwd,95.9,173.2,66.3,50.2,2811,ohc,4,156,mfi,3.6,3.9,7.0,145,5000,12964.0,21.5,0.05158306652436855,budget
2,gas,std,2,hatchback,fwd,86.6,144.6,63.9,50.8,1713,ohc,4,92,1bbl,2.91,3.41,9.6,58,4800,6479.0,51.5,0.033858727378867484,budget
2,gas,std,2,hatchback,fwd,86.6,144.6,63.9,50.8,1819,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,6855.0,34.5,0.04178119846069269,budget
1,gas,std,2,hatchback,fwd,93.7,150.0,64.0,52.6,1837,ohc,4,79,1bbl,2.91,3.07,10.1,60,5500,5399.0,40.0,0.0326619488296135,budget
1,gas,std,2,hatchback,fwd,93.7,150.0,64.0,52.6,1940,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,6529.0,32.0,0.03917525773195876,budget
1,gas,std,2,hatchback,fwd,93.7,150.0,64.0,52.6,1956,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,7129.0,32.0,0.03885480572597137,budget
0,gas,std,4,sedan,fwd,96.5,163.4,64.0,54.5,2010,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,7295.0,32.0,0.03781094527363184,budget
0,gas,std,4,wagon,fwd,96.5,157.1,63.9,58.3,2024,ohc,4,92,1bbl,2.92,3.41,9.2,76,6000,7295.0,32.0,0.037549407114624504,budget
0,gas,std,2,hatchback,fwd,96.5,167.5,65.2,53.3,2236,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800,7895.0,30.0,0.038461538461538464,budget
0,gas,std,2,hatchback,fwd,96.5,167.5,65.2,53.3,2289,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800,9095.0,30.0,0.037570991699432066,budget
0,gas,std,4,sedan,fwd,96.5,175.4,65.2,54.1,2304,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800,8845.0,30.0,0.03732638888888889,budget
0,gas,std,4,sedan,fwd,96.5,175.4,62.5,54.1,2372,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800,10295.0,30.0,0.03625632377740304,budget
0,gas,std,4,sedan,fwd,96.5,175.4,65.2,54.1,2465,ohc,4,110,mpfi,3.15,3.58,9.0,101,5800,12945.0,26.0,0.040973630831643,budget
1,gas,std,2,sedan,fwd,96.5,169.1,66.0,51.0,2293,ohc,4,110,2bbl,3.15,3.58,9.1,100,5500,10345.0,28.0,0.043610989969472304,budget
0,gas,std,4,sedan,rwd,94.3,170.7,61.8,53.5,2337,ohc,4,111,2bbl,3.31,3.23,8.5,78,4800,6785.0,26.5,0.03337612323491656,mid
1,gas,std,2,sedan,fwd,94.5,155.9,63.6,52.0,1874,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400,8916.5,40.5,0.03735325506937033,mid
0,gas,std,4,sedan,fwd,94.5,155.9,63.6,52.0,1909,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400,8916.5,40.5,0.03666841278156103,mid
2,gas,std,2,hatchback,rwd,96.0,172.6,65.2,51.4,2734,ohc,4,119,spfi,3.43,3.23,9.2,90,5000,11048.0,26.5,0.03291880029261156,mid
0,gas,std,4,sedan,rwd,113.0,199.6,69.6,52.8,4066,dohc,6,258,mpfi,3.63,4.17,8.1,176,4750,32250.0,17.0,0.04328578455484506,premium
0,gas,std,4,sedan,rwd,113.0,199.6,69.6,52.8,4066,dohc,6,258,mpfi,3.63,4.17,8.1,176,4750,35550.0,17.0,0.04328578455484506,premium
0,gas,std,2,sedan,rwd,102.0,191.7,70.6,47.8,3950,ohcv,12,326,mpfi,3.54,2.76,11.5,262,5000,36000.0,15.0,0.06632911392405064,premium
1,gas,std,2,hatchback,fwd,93.1,159.1,64.2,54.1,1890,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,5195.0,30.5,0.03597883597883598,mid
1,gas,std,2,hatchback,fwd,93.1,159.1,64.2,54.1,1900,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,6095.0,34.5,0.035789473684210524,mid
1,gas,std,2,hatchback,fwd,93.1,159.1,64.2,54.1,1905,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,6795.0,34.5,0.03569553805774278,mid
1,gas,std,4,sedan,fwd,93.1,166.8,64.2,54.1,1945,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,6695.0,34.5,0.03496143958868895,mid
1,gas,std,4,sedan,fwd,93.1,166.8,64.2,54.1,1950,ohc,4,91,2bbl,3.08,3.15,9.0,68,5000,7395.0,34.5,0.03487179487179487,mid
3,gas,std,2,hatchback,rwd,95.3,169.0,65.7,49.6,2380,rotor,2,70,4bbl,3.33,3.255,9.4,101,6000,10945.0,20.0,0.04243697478991597,mid
3,gas,std,2,hatchback,rwd,95.3,169.0,65.7,49.6,2380,rotor,2,70,4bbl,3.33,3.255,9.4,101,6000,11845.0,20.0,0.04243697478991597,mid
3,gas,std,2,hatchback,rwd,95.3,169.0,65.7,49.6,2385,rotor,2,70,4bbl,3.33,3.255,9.4,101,6000,13645.0,20.0,0.042348008385744235,mid
3,gas,std,2,hatchback,rwd,95.3,169.0,65.7,49.6,2500,rotor,2,80,mpfi,3.33,3.255,9.4,135,6000,15645.0,19.5,0.054,mid
1,gas,std,2,hatchback,fwd,98.8,177.8,66.5,53.7,2385,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,8845.0,29.0,0.03522012578616352,mid
0,gas,std,4,sedan,fwd,98.8,177.8,66.5,55.5,2410,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,8495.0,29.0,0.034854771784232366,mid
1,gas,std,2,hatchback,fwd,98.8,177.8,66.5,53.7,2385,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,10595.0,29.0,0.03522012578616352,mid
0,gas,std,4,sedan,fwd,98.8,177.8,66.5,55.5,2410,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,10245.0,29.0,0.034854771784232366,mid
0,diesel,std,4,sedan,fwd,98.8,177.8,66.5,55.5,2443,ohc,4,122,idi,3.39,3.39,22.7,64,4650,10795.0,39.0,0.026197298403602128,mid
0,gas,std,4,hatchback,fwd,98.8,177.8,66.5,55.5,2425,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,11245.0,29.0,0.03463917525773196,mid
0,gas,std,4,sedan,rwd,104.9,175.0,66.1,54.4,2670,ohc,4,140,mpfi,3.76,3.16,8.0,120,5000,18280.0,23.0,0.0449438202247191,mid
0,diesel,std,4,sedan,rwd,104.9,175.0,66.1,54.4,2700,ohc,4,134,idi,3.43,3.64,22.0,72,4200,18344.0,35.0,0.02666666666666667,mid
-1,diesel,turbo,4,sedan,rwd,110.0,190.9,70.3,56.5,3515,ohc,5,183,idi,3.58,3.64,21.5,123,4350,25552.0,23.5,0.03499288762446657,premium
-1,diesel,turbo,4,wagon,rwd,110.0,190.9,70.3,58.7,3750,ohc,5,183,idi,3.58,3.64,21.5,123,4350,28248.0,23.5,0.0328,premium
0,diesel,turbo,2,hardtop,rwd,106.7,187.5,70.3,54.9,3495,ohc,5,183,idi,3.58,3.64,21.5,123,4350,28176.0,23.5,0.0351931330472103,premium
-1,diesel,turbo,4,sedan,rwd,115.6,202.6,71.7,56.3,3770,ohc,5,183,idi,3.58,3.64,21.5,123,4350,31600.0,23.5,0.03262599469496021,premium
-1,gas,std,4,sedan,rwd,115.6,202.6,71.7,56.5,3740,ohcv,8,234,mpfi,3.46,3.1,8.3,155,4750,34184.0,17.0,0.04144385026737968,premium
3,gas,std,2,convertible,rwd,96.6,180.3,70.5,50.8,3685,ohcv,8,234,mpfi,3.46,3.1,8.3,155,4750,35056.0,17.0,0.04206241519674356,premium
0,gas,std,4,sedan,rwd,120.9,208.1,71.7,56.7,3900,ohcv,8,308,mpfi,3.8,3.35,8.0,184,4500,40960.0,15.0,0.04717948717948718,premium
1,gas,std,2,hardtop,rwd,112.0,199.2,72.0,55.4,3715,ohcv,8,304,mpfi,3.8,3.35,8.0,184,4500,45400.0,15.0,0.04952893674293405,premium
1,gas,turbo,2,hatchback,rwd,102.7,178.4,68.0,54.8,2910,ohc,4,140,mpfi,3.78,3.12,8.0,175,5000,16503.0,21.5,0.06013745704467354,premium
2,gas,std,2,hatchback,fwd,93.7,157.3,64.4,50.8,1918,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,5389.0,39.0,0.035453597497393116,budget
2,gas,std,2,hatchback,fwd,93.7,157.3,64.4,50.8,1944,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,6189.0,34.5,0.03497942386831276,budget
2,gas,std,2,hatchback,fwd,93.7,157.3,64.4,50.8,2004,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,6669.0,34.5,0.033932135728542916,budget
1,gas,turbo,2,hatchback,fwd,93.0,157.3,63.8,50.8,2145,ohc,4,98,spdi,3.03,3.39,7.6,102,5500,7689.0,27.0,0.04755244755244755,budget
3,gas,turbo,2,hatchback,fwd,96.3,173.0,65.4,49.4,2370,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,9959.0,26.5,0.048945147679324896,budget
3,gas,std,2,hatchback,fwd,96.3,173.0,65.4,49.4,2328,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,8499.0,28.5,0.037800687285223365,budget
3,gas,turbo,2,hatchback,fwd,95.9,173.2,66.3,50.2,2833,ohc,4,156,spdi,3.58,3.86,7.0,145,5000,12629.0,21.5,0.05118249205788916,budget
3,gas,turbo,2,hatchback,fwd,95.9,173.2,66.3,50.2,2921,ohc,4,156,spdi,3.59,3.86,7.0,145,5000,14869.0,21.5,0.04964053406367682,budget
3,gas,turbo,2,hatchback,fwd,95.9,173.2,66.3,50.2,2926,ohc,4,156,spdi,3.59,3.86,7.0,145,5000,14489.0,21.5,0.04955570745044429,budget
1,gas,std,4,sedan,fwd,96.3,172.4,65.4,51.6,2365,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,6989.0,28.5,0.037209302325581395,budget
1,gas,std,4,sedan,fwd,96.3,172.4,65.4,51.6,2405,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,8189.0,28.5,0.03659043659043659,budget
1,gas,turbo,4,sedan,fwd,96.3,172.4,65.4,51.6,2403,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,9279.0,26.5,0.04827299209321681,budget
-1,gas,std,4,sedan,fwd,96.3,172.4,65.4,51.6,2403,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,9279.0,26.5,0.04827299209321681,budget
1,gas,std,2,sedan,fwd,94.5,165.3,63.8,54.5,1889,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,5499.0,34.0,0.036527263102170464,budget
1,diesel,std,2,sedan,fwd,94.5,165.3,63.8,54.5,2017,ohc,4,103,idi,2.99,3.47,21.9,55,4800,7099.0,47.5,0.027268220128904314,budget
1,gas,std,2,sedan,fwd,94.5,165.3,63.8,54.5,1918,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,6649.0,34.0,0.03597497393117831,budget
1,gas,std,4,sedan,fwd,94.5,165.3,63.8,54.5,1938,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,6849.0,34.0,0.03560371517027864,budget
1,gas,std,4,wagon,fwd,94.5,170.2,63.8,53.5,2024,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,7349.0,34.0,0.03409090909090909,budget
1,gas,std,2,sedan,fwd,94.5,165.3,63.8,54.5,1951,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,7299.0,34.0,0.035366478728856995,budget
1,gas,std,2,hatchback,fwd,94.5,165.6,63.8,53.3,2028,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,7799.0,34.0,0.034023668639053255,budget
1,gas,std,4,sedan,fwd,94.5,165.3,63.8,54.5,1971,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,7499.0,34.0,0.0350076103500761,budget
1,gas,std,4,wagon,fwd,94.5,170.2,63.8,53.5,2037,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,7999.0,34.0,0.033873343151693665,budget
2,gas,std,2,hardtop,fwd,95.1,162.4,63.8,53.3,2008,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,8249.0,34.0,0.03436254980079681,budget
0,gas,std,4,hatchback,fwd,97.2,173.4,65.2,54.7,2324,ohc,4,120,2bbl,3.33,3.47,8.5,97,5200,8949.0,30.5,0.04173838209982788,budget
0,gas,std,4,sedan,fwd,97.2,173.4,65.2,54.7,2302,ohc,4,120,2bbl,3.33,3.47,8.5,97,5200,9549.0,30.5,0.0421372719374457,budget
0,gas,std,4,sedan,fwd,100.4,181.7,66.5,55.1,3095,ohcv,6,181,mpfi,3.43,3.27,9.0,152,5200,13499.0,19.5,0.04911147011308562,budget
0,gas,std,4,wagon,fwd,100.4,184.6,66.5,56.1,3296,ohcv,6,181,mpfi,3.43,3.27,9.0,152,5200,14399.0,19.5,0.04611650485436893,budget
0,gas,std,4,sedan,fwd,100.4,184.6,66.5,55.1,3060,ohcv,6,181,mpfi,3.43,3.27,9.0,152,5200,13499.0,22.0,0.04967320261437908,budget
3,gas,std,2,hatchback,rwd,91.3,170.7,67.9,49.7,3071,ohcv,6,181,mpfi,3.43,3.27,9.0,160,5200,17199.0,22.0,0.052100293064148484,budget
3,gas,turbo,2,hatchback,rwd,91.3,170.7,67.9,49.7,3139,ohcv,6,181,mpfi,3.43,3.27,7.8,200,5200,19699.0,20.0,0.06371455877668047,budget
1,gas,std,2,hatchback,rwd,99.2,178.5,67.9,49.7,3139,ohcv,6,181,mpfi,3.43,3.27,9.0,160,5200,18399.0,22.0,0.05097164702134438,budget
0,gas,std,4,sedan,rwd,107.9,186.7,68.4,56.7,3020,l,4,120,mpfi,3.46,3.19,8.4,97,5000,11900.0,21.5,0.032119205298013244,premium
0,diesel,turbo,4,sedan,rwd,107.9,186.7,68.4,56.7,3197,l,4,152,idi,3.7,3.52,21.0,95,4150,13200.0,30.5,0.029715358148264,premium
0,gas,std,4,wagon,rwd,114.2,198.9,68.4,58.7,3230,l,4,120,mpfi,3.46,3.19,8.4,97,5000,12440.0,21.5,0.030030959752321982,premium
0,diesel,turbo,4,wagon,rwd,114.2,198.9,68.4,58.7,3430,l,4,152,idi,3.7,3.52,21.0,95,4150,13860.0,25.0,0.027696793002915453,premium
0,gas,std,4,sedan,rwd,107.9,186.7,68.4,56.7,3075,l,4,120,mpfi,3.46,2.19,8.4,95,5000,15580.0,21.5,0.030894308943089432,premium
0,diesel,turbo,4,sedan,rwd,107.9,186.7,68.4,56.7,3252,l,4,152,idi,3.7,3.52,21.0,95,4150,16900.0,30.5,0.02921279212792128,premium
0,gas,std,4,wagon,rwd,114.2,198.9,68.4,56.7,3285,l,4,120,mpfi,3.46,2.19,8.4,95,5000,16695.0,21.5,0.0289193302891933,premium
0,diesel,turbo,4,wagon,rwd,114.2,198.9,68.4,58.7,3485,l,4,152,idi,3.7,3.52,21.0,95,4150,17075.0,25.0,0.027259684361549498,premium
0,gas,std,4,sedan,rwd,107.9,186.7,68.4,56.7,3075,l,4,120,mpfi,3.46,3.19,8.4,97,5000,16630.0,21.5,0.031544715447154474,premium
0,diesel,turbo,4,sedan,rwd,107.9,186.7,68.4,56.7,3252,l,4,152,idi,3.7,3.52,21.0,95,4150,17950.0,30.5,0.02921279212792128,premium
0,gas,turbo,4,sedan,rwd,108.0,186.7,68.3,56.0,3130,l,4,134,mpfi,3.61,3.21,7.0,142,5600,18150.0,21.0,0.04536741214057508,premium
1,gas,std,2,hatchback,fwd,93.7,157.3,63.8,50.8,1918,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,5572.0,39.0,0.035453597497393116,budget
1,gas,turbo,2,hatchback,fwd,93.7,157.3,63.8,50.8,2128,ohc,4,98,spdi,3.03,3.39,7.6,102,5500,7957.0,27.0,0.047932330827067667,budget
1,gas,std,4,hatchback,fwd,93.7,157.3,63.8,50.6,1967,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,6229.0,34.5,0.03457041179461108,budget
1,gas,std,4,sedan,fwd,93.7,167.3,63.8,50.8,1989,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,6692.0,34.5,0.03418803418803419,budget
1,gas,std,4,sedan,fwd,93.7,167.3,63.8,50.8,2191,ohc,4,98,2bbl,2.97,3.23,9.4,68,5500,7609.0,34.5,0.031036056595162027,budget
-1,gas,std,4,wagon,fwd,103.3,174.6,64.6,59.8,2535,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,8921.0,27.0,0.03471400394477318,budget
3,gas,turbo,2,hatchback,rwd,95.9,173.2,66.3,50.2,2818,ohc,4,156,spdi,3.59,3.86,7.0,145,5000,12764.0,21.5,0.05145493257629524,budget
3,gas,std,2,hatchback,rwd,94.5,168.9,68.3,50.2,2778,ohc,4,151,mpfi,3.94,3.11,9.5,143,5500,22018.0,23.0,0.05147588192944565,premium
3,gas,std,2,hardtop,rwd,89.5,168.9,65.0,51.6,2756,ohcf,6,194,mpfi,3.74,2.9,9.5,207,5900,32528.0,21.0,0.07510885341074021,premium
3,gas,std,2,hardtop,rwd,89.5,168.9,65.0,51.6,2756,ohcf,6,194,mpfi,3.74,2.9,9.5,207,5900,34028.0,21.0,0.07510885341074021,premium
3,gas,std,2,convertible,rwd,89.5,168.9,65.0,51.6,2800,ohcf,6,194,mpfi,3.74,2.9,9.5,207,5900,37028.0,21.0,0.07392857142857143,premium
1,gas,std,2,hatchback,rwd,98.4,175.7,72.3,50.5,3366,dohcv,8,203,mpfi,3.94,3.11,10.0,288,5750,31400.5,22.5,0.0855614973262032,premium
0,gas,std,4,wagon,fwd,96.1,181.5,66.5,55.2,2579,ohc,4,132,mpfi,3.46,3.9,8.7,90,5100,9295.0,27.0,0.03489724699495929,mid
2,gas,std,2,hatchback,fwd,96.1,176.8,66.6,50.5,2460,ohc,4,132,mpfi,3.46,3.9,8.7,90,5100,9895.0,27.0,0.036585365853658534,mid
3,gas,std,2,hatchback,fwd,99.1,186.6,66.5,56.1,2658,ohc,4,121,mpfi,3.54,3.07,9.31,110,5250,11850.0,24.5,0.04138449962377728,mid
2,gas,std,4,sedan,fwd,99.1,186.6,66.5,56.1,2695,ohc,4,121,mpfi,3.54,3.07,9.3,110,5250,12170.0,24.5,0.04081632653061224,mid
3,gas,std,2,hatchback,fwd,99.1,186.6,66.5,56.1,2707,ohc,4,121,mpfi,2.54,2.07,9.3,110,5250,15040.0,24.5,0.04063538973032878,mid
2,gas,std,4,sedan,fwd,99.1,186.6,66.5,56.1,2758,ohc,4,121,mpfi,3.54,3.07,9.3,110,5250,15510.0,24.5,0.03988397389412618,mid
3,gas,turbo,2,hatchback,fwd,99.1,186.6,66.5,56.1,2808,dohc,4,121,mpfi,3.54,3.07,9.0,160,5500,18150.0,22.5,0.05698005698005698,mid
2,gas,turbo,4,sedan,fwd,99.1,186.6,66.5,56.1,2847,dohc,4,121,mpfi,3.54,3.07,9.0,160,5500,18620.0,22.5,0.056199508254302775,mid
2,gas,std,2,hatchback,fwd,93.7,156.9,63.4,53.7,2050,ohcf,4,97,2bbl,3.62,2.36,9.0,69,4900,5118.0,33.5,0.033658536585365856,budget
2,gas,std,2,hatchback,fwd,93.7,157.9,63.6,53.7,2120,ohcf,4,108,2bbl,3.62,2.64,8.7,73,4400,7053.0,28.5,0.03443396226415094,budget
2,gas,std,2,hatchback,4wd,93.3,157.3,63.8,55.7,2240,ohcf,4,108,2bbl,3.62,2.64,8.7,73,4400,7603.0,28.5,0.032589285714285716,budget
0,gas,std,4,sedan,fwd,97.2,172.0,65.4,52.5,2145,ohcf,4,108,2bbl,3.62,2.64,9.5,82,4800,7126.0,34.5,0.03822843822843823,budget
0,gas,std,4,sedan,fwd,97.2,172.0,65.4,52.5,2190,ohcf,4,108,2bbl,3.62,2.64,9.5,82,4400,7775.0,30.5,0.03744292237442922,budget
0,gas,std,4,sedan,fwd,97.2,172.0,65.4,52.5,2340,ohcf,4,108,mpfi,3.62,2.64,9.0,94,5200,9960.0,29.0,0.040170940170940174,budget
0,gas,std,4,sedan,4wd,97.0,172.0,65.4,54.3,2385,ohcf,4,108,2bbl,3.62,2.64,9.0,82,4800,9233.0,24.5,0.034381551362683435,budget
0,gas,turbo,4,sedan,4wd,97.0,172.0,65.4,54.3,2510,ohcf,4,108,mpfi,3.62,2.64,7.7,111,4800,11259.0,26.5,0.044223107569721115,budget
0,gas,std,4,wagon,fwd,97.0,173.5,65.4,53.0,2290,ohcf,4,108,2bbl,3.62,2.64,9.0,82,4800,7463.0,30.0,0.03580786026200873,budget
0,gas,std,4,wagon,fwd,97.0,173.5,65.4,53.0,2455,ohcf,4,108,mpfi,3.62,2.64,9.0,94,5200,10198.0,28.0,0.038289205702647655,budget
0,gas,std,4,wagon,4wd,96.9,173.6,65.4,54.9,2420,ohcf,4,108,2bbl,3.62,2.64,9.0,82,4800,8013.0,26.0,0.033884297520661154,budget
0,gas,turbo,4,wagon,4wd,96.9,173.6,65.4,54.9,2650,ohcf,4,108,mpfi,3.62,2.64,7.7,111,4800,11694.0,23.0,0.04188679245283019,budget
1,gas,std,2,hatchback,fwd,95.7,158.7,63.6,54.5,1985,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,5348.0,37.0,0.031234256926952142,mid
1,gas,std,2,hatchback,fwd,95.7,158.7,63.6,54.5,2040,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,6338.0,34.5,0.030392156862745098,mid
1,gas,std,4,hatchback,fwd,95.7,158.7,63.6,54.5,2015,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,6488.0,34.5,0.03076923076923077,mid
0,gas,std,4,wagon,fwd,95.7,169.7,63.6,59.1,2280,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,6918.0,34.0,0.027192982456140352,mid
0,gas,std,4,wagon,4wd,95.7,169.7,63.6,59.1,2290,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,7898.0,29.5,0.027074235807860263,mid
0,gas,std,4,wagon,4wd,95.7,169.7,63.6,59.1,3110,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,8778.0,29.5,0.019935691318327974,mid
